	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
A1BG	NM_130786	4.962018738	5.049348062	4.973650078	4.921026082	P	P	P	A	2.247415739	2.250021507	2.241134879	2.303448416	A	A	A	A	2.222998656	2.222363968	2.216478637	2.215559338	A	A	A	A	0.8883	0.9999	1.0000	0.9996	0.9264	0.1743	1.0000	1.0000	1.0000
A1CF	NM_014576	10.46081117	10.45008123	10.14753258	10.36553435	P	P	P	P	2.050541907	2.009448056	2.022373045	2.023421249	A	A	A	A	2.479690015	2.504308289	2.501375649	2.480815077	A	P	A	A	0.9850	0.0026	0.4326	0.7251	0.8083	0.5025	1.0000	1.0000	1.0000
A2BP1	NM_018723	2.165956842	2.167742279	2.211617257	2.160026443	A	A	A	A	2.133901977	2.137207346	2.128916208	2.194399345	A	A	A	A	2.048460552	2.083620014	2.051737411	2.050264599	A	A	A	A	0.9996	0.3996	1.0000	0.9996	0.9530	0.2284	0.9207	1.0000	1.0000
A2M	NM_000014	13.84939951	13.79570913	13.75780797	13.70686313	P	P	P	P	2.003980939	2.003428909	1.994260194	2.017356813	A	A	A	A	1.93983153	1.94274008	1.936202793	1.940025691	A	A	A	A	0.4298	0.0784	0.0062	0.9996	0.8518	0.4397	1.0000	1.0000	1.0000
A2ML1	NM_144670	2.989633405	3.019724919	3.003413571	3.027967462	A	A	A	A	3.239651851	3.264515764	3.258081395	3.327488209	P	P	A	A	3.100839254	3.096793373	3.129699201	3.111933042	A	P	A	A	0.8741	0.9999	0.7066	0.9636	0.8609	0.0462	1.0000	0.8372	1.0000
A4GALT	NM_017436	2.789130597	2.796827872	2.885011435	2.788712647	A	A	A	A	2.086766582	2.099343735	2.088043489	2.12364401	A	A	A	A	2.784583642	2.78538527	2.779286393	2.757945747	A	A	A	A	0.9867	0.2435	1.0000	0.8758	0.9654	0.0523	1.0000	1.0000	0.5437
A4GNT	NM_016161	1.82663933	1.826750766	1.824982625	1.828470413	A	A	A	A	1.696635309	1.69846715	1.692213402	1.709342046	A	A	A	A	2.040006593	2.049513565	2.038111155	2.051955327	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8881	0.3977	1.0000	1.0000	1.0000
AAAS	NM_015665	7.04769577	6.974074751	6.826549849	6.694028699	P	P	P	P	6.101270386	5.981435019	5.904484352	5.98087336	P	P	P	P	4.510587441	4.605133125	4.697139262	4.651715699	P	A	P	P	0.9257	0.5186	0.1632	0.8496	0.3492	0.4113	1.0000	0.3962	0.5310
AACS	NM_023928	8.706130976	8.424175885	8.762965869	9.014974843	P	P	P	P	8.096688396	8.032917691	8.093610967	8.085240588	P	P	P	P	9.320419511	9.438650556	9.548433285	9.569174524	P	P	P	P	0.0869	0.9999	0.0429	0.9996	0.9910	0.9295	0.7581	0.1274	0.0714
AADAC	NM_001086	2.341444031	2.358761992	2.327395908	2.29965753	A	A	A	A	2.293495212	2.30041388	2.288211491	2.320887472	A	A	A	A	2.278518767	2.277148897	2.271176969	2.272783256	A	A	A	A	0.9912	0.9999	1.0000	0.9996	0.8931	0.2201	1.0000	1.0000	1.0000
