"GSM460693"	"GSM460694"	"GSM460695"	"GSM460696"	"GSM460697"	"GSM460698"	"GSM460699"	"GSM460700"	"GSM460701"	"GSM460702"	"GSM460703"	"GSM460704"
"BAD"	7.91709107443938	7.9388068353652	7.82886832925945	7.98931009045974	7.92415195237696	8.04600862559406	7.95435285982466	7.96795705965528	7.86494872006059	8.05125389184643	7.95567526143642	7.62572790510221
"BAX"	8.12840266966223	8.03291268419471	7.73881505193398	7.82249458416894	7.88093118735931	7.76452761921661	7.90468099080419	7.45939275639179	7.86277035571756	7.78800160820255	7.56704325426606	7.63340321761207
"BCL2"	6.04466018693613	6.3083888469393	6.0796935734241	6.08358637408121	6.13913528621706	6.15070314639904	6.18816222827481	6.16021869258211	6.27549753562113	6.17738981276314	6.28379439145387	6.32462624937102
"BIK"	7.14766261508887	7.1053253538179	6.79579143816017	7.2096279587591	7.45419622716511	6.88665811026747	7.17464924133485	7.3079940691363	7.35294032005705	7.3138895499552	7.35875176980179	7.26237602937979
"BIM"	9.61667393443188	9.58462688955328	9.5411249036895	9.44614538145987	9.57929262485138	9.56088272738177	9.56943161013484	9.54606154870449	9.59331828063921	9.63932276246234	9.44157116210973	9.54993231433814
"CASP3"	7.59225671204254	7.88229511596486	7.60209755382846	7.74217698670757	7.74745052961094	7.85515315458226	7.72284297593585	7.3951272700047	7.71022652973869	7.62874143875673	7.64961620013995	7.63080774632063
"CASP9"	7.07665783621231	7.02263124795078	6.91722014490991	7.09062379769223	7.0788894227023	7.15384364313557	7.12314200703928	7.18074221480519	7.15222849551262	7.02613918545952	7.12468654934079	7.07523430067084
"CYC1"	10.8651759691281	10.8325064488652	11.0056901834277	10.8488303502317	10.8803240403109	10.8159089974977	10.8396755472832	10.6800637431806	10.7025276470118	10.6423531525494	10.545095744038	10.492814139166
"DIABLO"	9.86782116607382	10.025401287752	9.97822274556696	10.0626857631419	10.09625923241	10.0215408168517	10.0166295471507	9.96267691879891	10.0346099254178	10.0184116945914	10.0444147796359	9.79294308169765
"EP300"	7.26569753316404	7.42217143453595	7.13528869554385	7.47607564669718	7.41008821458819	7.5688737017262	7.56772335796393	7.46950187599962	7.46430369137496	7.23838651471182	7.40805407921908	7.32755887290086
"HIF1A"	12.2018811863649	12.2247254002199	12.1095202472317	11.6330143947301	11.5162826368131	11.4957608112387	10.4563731563797	10.512751548142	10.4039937182303	10.1196092317622	10.3010443240935	10.3333775325209
"IAPs"	8.49704089039702	8.45653687918134	8.46684479643806	8.47446043499978	8.49433470948892	8.47822596001259	8.51241505939849	8.44117779476953	8.44780932073347	8.39716036379435	8.39706831690852	8.39123709447385
"MCL1"	7.69274621429572	7.38963761862545	7.59906044544958	7.58337268646462	7.51172399849472	7.77804411174191	7.83769280392141	7.6303182653455	7.69355516304826	7.87658393461185	7.41637991681438	7.90228131362255
"MDM2"	5.66255816999765	5.63629892690769	5.60233726967684	5.63094569249633	5.61088213001696	5.66375819920601	5.6340025392797	5.65651709690173	5.62932260555015	5.71503016828643	5.5901619694495	5.69863419374706
"TP53"	8.7478502176627	8.47128919709762	8.64022136961455	8.50721430011443	8.62203522065859	8.84917733123937	8.87263147019895	8.70326233841236	8.72077121980629	8.90050478916797	8.45847017844419	8.88347187214838
"VHL"	5.71850024799115	5.6428476363663	5.72211964462479	5.73136875493738	5.64997825556665	5.61961578723424	5.55413898969129	5.62940213172177	5.57604203511524	5.36811413623992	5.57952300563732	5.71010094171774
