"GSM1018170"	"GSM1018171"	"GSM1018172"	"GSM1018173"	"GSM1018174"	"GSM1018175"	"GSM1018176"	"GSM1018177"	"GSM1018178"	"GSM1018179"	"GSM1018180"	"GSM1018181"	"GSM1018182"	"GSM1018183"	"GSM1018184"	"GSM1018185"	"GSM1018186"	"GSM1018187"	"GSM1018188"	"GSM1018189"	"GSM1018190"	"GSM1018191"	"GSM1018192"	"GSM1018193"
"BAD"	8.06425984641667	7.931056558625	7.62608882320833	7.75014555341667	7.88540552741667	7.98554904558333	7.93384231025	7.92467112833333	6.612021935125	6.70215439979167	6.62175473433333	6.89334147466667	7.121047168125	7.03984978320833	7.04610347233333	6.81331710354167	6.831730012	6.78450445054167	6.70733307741667	6.59711266191667	6.77283578654167	6.9694991715	6.57801126716667	6.787216600125
"BAX"	6.58634992933333	6.405244866125	6.31783721220833	6.67755192870833	6.950868925375	7.28656795891667	6.89671488541667	7.00482664720833	7.676953150625	7.57080236770833	7.6224247605	8.15364197058333	8.12709735483333	8.17868076058333	8.37955462508333	8.77181077970833	7.960793567125	7.968984230375	7.83048103475	7.81351947933333	8.23748148091667	8.419924945625	8.12460824958333	8.57342646454167
"BCL2"	5.494181684875	5.43365192008333	5.48504278954167	5.492443800125	5.49139912841667	5.253380765875	5.44547032479167	5.56952364833333	5.59587228341667	5.79534150270833	5.62112188141667	5.555895816625	5.60179280025	5.74395040758333	5.58880112879167	5.694794543	5.85850407804167	6.03614350283333	5.88104039395833	5.90475814179167	5.80058352620833	5.676706117375	5.58424233754167	5.54757285108333
"BIK"	8.73531007379167	9.51880870666667	9.57648470983333	10.3506059004167	10.3863346841667	10.206589199125	10.0351947560833	9.73395781245833	7.62472639145833	7.44659300491667	8.00841434658333	8.68713804004167	8.98087431933333	8.65369827729167	8.61744623070833	8.16440832058333	8.78576528775	8.953258977625	9.08867177845833	9.23970020016667	9.1470622875	9.278798396125	8.56034230158333	7.95994870125
"BIM"	10.7286819302639	10.6724899656111	10.7332830270556	10.7838200468333	10.8719611933056	10.855577348875	10.8875613230556	11.0493935482917	11.7423647011111	11.7951690445833	11.6628426138889	11.8008929893056	11.8245330870833	11.6180341856389	11.7567013951389	11.9679166531944	10.3900701155	10.4045061580694	10.4076381700833	10.3286775552222	10.2937718511111	10.2360306625139	10.277288193375	10.3378504892639
"CASP3"	8.98989152308333	8.90671989395833	8.63766836170833	8.574269024875	8.64340533816667	8.41548074545833	8.49833113291667	8.83625509229167	9.19401086958333	9.31680729225	9.5616844945	9.63790669245833	10.0170494174167	10.41065208125	10.4706044833333	10.6776366425	8.550776780625	8.59323681725	8.52335491483333	8.77943086554167	8.63800215129167	9.47199677825	9.64721625758333	9.11831979475
"CASP9"	8.072681401625	7.963921971625	7.867023466	8.08693772183333	8.23968807529167	8.34042570358333	8.38534820983333	8.33576715508333	7.735185133875	7.603792593125	7.965872994375	8.385807409125	8.44168530341667	8.6683453905	8.67254358895833	8.913836167375	7.74778450775	7.7384441365	7.729507118	7.572634177	7.625708457875	7.808120800375	7.80777785679167	7.99462852779167
"CYC1"	11.7961775429167	11.7405068770833	11.414567645	11.4914816229167	11.5556268858333	11.5889898304167	11.75800241	11.9284154991667	12.3097062354167	12.5401080029167	12.2089058454167	12.09034813875	11.97030543875	11.6036662808333	11.8430797170833	11.9182904741667	12.3525070366667	12.29636407625	12.1952745108333	12.0462821075	11.9949051375	11.8197797208333	11.6345504154167	11.49395522375
"DIABLO"	11.2059897191667	11.2320328225	11.3078735445833	11.4320331620833	11.5936178433333	11.80116922125	11.7790271433333	11.5290567645833	10.7606461033333	10.58359109625	10.7357144020833	11.0726195958333	11.2679028329167	11.532011565	11.5541597904167	11.7724848795833	11.08092076	11.0370224945833	11.0315360691667	11.0221660404167	11.0631754533333	11.3542602366667	11.23927732	11.4030330570833
"EP300"	6.9249858415	7.20331621791667	7.23143910170833	7.03621837258333	7.47736281954167	7.63494954970833	6.810201936125	6.92393085675	6.72026743329167	7.11997233825	7.13416363420833	7.440025818125	7.17071512358333	7.22045002645833	7.21616613875	6.980701967625	7.29138810045833	7.12208584891667	6.997870797	6.94451687320833	6.87249915766667	7.075528816625	6.88139850320833	6.94628798829167
"HIF1A"	13.1698413570833	13.1786174995833	13.09417905125	12.9655475858333	12.43035396375	12.3821569920833	12.0517471833333	11.6763693841667	12.17243418125	12.2569620741667	12.2892390045833	12.32392358625	12.0593295216667	12.3139012608333	12.5249682308333	12.4005745979167	12.9480092858333	12.9771814104167	12.8917670254167	12.5905112720833	11.6145462504167	11.48856110125	11.3764170970833	11.2679028329167
"IAPs"	10.6364745608167	10.6101086539	10.762880558	10.6968950079667	10.7318525712833	10.5760979473083	10.4524516115083	10.1507781820917	8.6814317774	8.72728882025833	8.82647728516667	9.00965521734167	8.60445126485833	8.63171455891667	8.42331544754167	8.22436912160833	8.33623017404167	8.398149030525	8.47230630025	8.60496142285833	8.4264560294	8.593245856525	8.2365094936	7.858326801575
"MCL1"	9.416427168	9.41177667154167	9.582150622	9.622421318625	9.10776520716667	8.85660128670833	8.5980825845	8.336089466	9.341138644875	9.409470204875	9.98993122691667	10.160489308625	9.85543112770833	9.98200839091667	9.83144952245833	9.21320515058333	9.845351666875	9.866180974625	9.98383932091667	9.93827342779167	9.60862539308333	9.48814249254167	9.55151160433333	9.759383428625
