"GSM1151682"	"GSM1151683"	"GSM1151684"	"GSM1151685"	"GSM1151686"	"GSM1151687"	"GSM1151688"	"GSM1151689"	"GSM1151690"	"GSM1151691"	"GSM1151692"	"GSM1151693"
"BAD"	7.64448860066667	7.646814029	7.726440419	7.83658600866667	7.81254050636111	7.80461161533333	7.81256971266667	7.86767803233333	7.860187539	7.98233926111111	8.00094076433333	8.0404354345
"BAX"	7.945218903	8.03402579530556	8.017246259	7.91672904333333	7.68381543466667	7.63477143186111	8.011169517	7.87468361925	7.85654141633333	8.12582359233333	8.05732733355556	8.16935100766667
"BCL2"	7.47994668975	7.50885701025	7.45827828325	7.0873819775	7.03602408925	7.0375822335	6.83487482125	6.858952744	6.8249790865	6.571543404	6.5195694195	6.4810093365
"BIK"	8.479642905	8.445115549	8.509664161	9.002076596	9.001819065	9.060498632	9.407099095	9.310936421	9.324771555	9.067790819	9.347613248	9.168812551
"BIM"	10.932510161	10.9687123136667	10.8765737423333	10.978212448	10.9035513953333	10.8738628386667	10.9325251683333	10.9098111016667	10.942733941	10.9576331283333	10.8670020586667	11.0475599593333
"CASP3"	7.946617242	7.88928294958333	7.963258094	7.68384988704167	7.697358338	7.8373486	7.8519597975	7.6988565165	7.7206373665	7.5991242945	7.7135808005	7.7614292015
"CASP9"	7.2292006895	7.140931798	7.0899937625	7.154830801625	7.0887278405	7.0896721	7.1162593695	7.1736973935	7.153914061	7.1974667605	7.1728291485	7.2176375305
"CYC1"	13.42669293	13.45954119	13.29285151	13.00308165	13.11658153	13.05577059	13.03686602	12.92898205	12.92622147	13.05769004	13.06568388	12.95265942
"DIABLO"	11.35204007	11.38412118	11.374759575	11.04521147	11.054312365	11.0589383941667	11.13640433	11.141437445	11.11548189	11.10759325	11.060133445	11.05658951
"EP300"	9.038935836	9.036617014	9.070454768	9.183944961	8.942993175	9.083586287	8.945772069	9.376219729	9.314043429	8.979497208	9.069646747	9.076991161
"HIF1A"	8.92089267133333	8.801713289	8.87033088	8.20203440733333	8.26542269033333	8.27731168266667	8.596949472	8.496650518	8.58781618533333	8.81946088066667	8.915746899	8.95371549866667
"IAPs"	7.83723165140833	7.79935054595833	7.8355733695	7.8194633891	7.8058428251	7.7170564903	7.82013218601667	7.8613211796	7.8227886455	7.9142991917	7.8884402561	7.8311994632
"MCL1"	10.206277335	10.242419435	10.161059915	10.20909549	10.116096965	10.044358145	10.101340295	10.15716455625	10.167906805	10.06305743	10.0298643675	10.1231693655
"MDM2"	6.67756312266667	6.674919076	6.69383856466667	6.71947967166667	6.79582479366667	6.67434069997222	6.66518928030556	6.57432111136111	6.68271361988889	6.85378872466667	6.74666883433333	6.865280851
"TP53"	9.443994866	9.697341155	9.725212615	9.725640194	9.603921052	9.701576004	9.315033054	9.392243301	9.610346618	9.458587913	9.429957708	9.34003583
"VHL"	9.729206363	9.606724823	9.5283259435	9.41679143875	9.39323889175	9.364532063	9.52980384475	9.40262556175	9.483530762	9.719623738	9.688382407	9.587727302
